spi,market_segment,landed,month,year
261.5,Core Central Region,1,2,2024
268.1,Core Central Region,1,1,2024
261.6,Core Central Region,1,12,2023
263.9,Core Central Region,1,11,2023
262.3,Core Central Region,1,10,2023
256.7,Core Central Region,1,9,2023
252.2,Core Central Region,1,8,2023
243.1,Core Central Region,1,7,2023
248.2,Core Central Region,1,6,2023
255.5,Core Central Region,1,5,2023
259.1,Core Central Region,1,4,2023
262.2,Core Central Region,1,3,2023
257.2,Core Central Region,1,2,2023
247.9,Core Central Region,1,1,2023
241.6,Core Central Region,1,12,2022
242,Core Central Region,1,11,2022
252.7,Core Central Region,1,10,2022
251.1,Core Central Region,1,9,2022
243.8,Core Central Region,1,8,2022
233,Core Central Region,1,7,2022
228,Core Central Region,1,6,2022
235.5,Core Central Region,1,5,2022
232.7,Core Central Region,1,4,2022
237.9,Core Central Region,1,3,2022
229.6,Core Central Region,1,2,2022
230,Core Central Region,1,1,2022
221.3,Core Central Region,1,12,2021
218.7,Core Central Region,1,11,2021
217.7,Core Central Region,1,10,2021
219.3,Core Central Region,1,9,2021
220.1,Core Central Region,1,8,2021
223,Core Central Region,1,7,2021
217.9,Core Central Region,1,6,2021
215.5,Core Central Region,1,5,2021
210,Core Central Region,1,4,2021
213.6,Core Central Region,1,3,2021
210,Core Central Region,1,2,2021
199.9,Core Central Region,1,1,2021
189.5,Core Central Region,1,12,2020
189.9,Core Central Region,1,11,2020
195.7,Core Central Region,1,10,2020
196.6,Core Central Region,1,9,2020
192,Core Central Region,1,8,2020
189.8,Core Central Region,1,7,2020
189.3,Core Central Region,1,6,2020
192.8,Core Central Region,1,5,2020
199.1,Core Central Region,1,4,2020
198.3,Core Central Region,1,3,2020
202.2,Core Central Region,1,2,2020
201,Core Central Region,1,1,2020
203.6,Core Central Region,1,12,2019
202.3,Core Central Region,1,11,2019
189,Core Central Region,1,10,2019
187,Core Central Region,1,9,2019
182.4,Core Central Region,1,8,2019
186.8,Core Central Region,1,7,2019
190,Core Central Region,1,6,2019
190.7,Core Central Region,1,5,2019
197.6,Core Central Region,1,4,2019
197.2,Core Central Region,1,3,2019
194.2,Core Central Region,1,2,2019
195.5,Core Central Region,1,1,2019
311.8,Rest of Central Region,1,2,2024
309.8,Rest of Central Region,1,1,2024
294.3,Rest of Central Region,1,12,2023
293.2,Rest of Central Region,1,11,2023
297.9,Rest of Central Region,1,10,2023
310.2,Rest of Central Region,1,9,2023
311,Rest of Central Region,1,8,2023
305,Rest of Central Region,1,7,2023
296.2,Rest of Central Region,1,6,2023
293.4,Rest of Central Region,1,5,2023
291.4,Rest of Central Region,1,4,2023
303.7,Rest of Central Region,1,3,2023
303.9,Rest of Central Region,1,2,2023
310.3,Rest of Central Region,1,1,2023
305.7,Rest of Central Region,1,12,2022
306.6,Rest of Central Region,1,11,2022
302.4,Rest of Central Region,1,10,2022
297,Rest of Central Region,1,9,2022
299.8,Rest of Central Region,1,8,2022
304,Rest of Central Region,1,7,2022
298.1,Rest of Central Region,1,6,2022
294,Rest of Central Region,1,5,2022
284.7,Rest of Central Region,1,4,2022
286.1,Rest of Central Region,1,3,2022
281,Rest of Central Region,1,2,2022
283.4,Rest of Central Region,1,1,2022
272.7,Rest of Central Region,1,12,2021
261.1,Rest of Central Region,1,11,2021
257.4,Rest of Central Region,1,10,2021
260,Rest of Central Region,1,9,2021
258.2,Rest of Central Region,1,8,2021
247.5,Rest of Central Region,1,7,2021
245.1,Rest of Central Region,1,6,2021
245.8,Rest of Central Region,1,5,2021
242.3,Rest of Central Region,1,4,2021
239.2,Rest of Central Region,1,3,2021
233.8,Rest of Central Region,1,2,2021
232.6,Rest of Central Region,1,1,2021
227,Rest of Central Region,1,12,2020
224.8,Rest of Central Region,1,11,2020
222.3,Rest of Central Region,1,10,2020
221,Rest of Central Region,1,9,2020
215.2,Rest of Central Region,1,8,2020
220.9,Rest of Central Region,1,7,2020
226.8,Rest of Central Region,1,6,2020
234.6,Rest of Central Region,1,5,2020
230.9,Rest of Central Region,1,4,2020
220.4,Rest of Central Region,1,3,2020
218.1,Rest of Central Region,1,2,2020
214.1,Rest of Central Region,1,1,2020
218.3,Rest of Central Region,1,12,2019
215.4,Rest of Central Region,1,11,2019
217.2,Rest of Central Region,1,10,2019
214.5,Rest of Central Region,1,9,2019
217.1,Rest of Central Region,1,8,2019
209.6,Rest of Central Region,1,7,2019
215,Rest of Central Region,1,6,2019
212.3,Rest of Central Region,1,5,2019
213.7,Rest of Central Region,1,4,2019
212.6,Rest of Central Region,1,3,2019
211.5,Rest of Central Region,1,2,2019
213.5,Rest of Central Region,1,1,2019
298.2,Outside Central Region,1,2,2024
295.9,Outside Central Region,1,1,2024
299.9,Outside Central Region,1,12,2023
307.9,Outside Central Region,1,11,2023
305.7,Outside Central Region,1,10,2023
300.2,Outside Central Region,1,9,2023
297.3,Outside Central Region,1,8,2023
295.8,Outside Central Region,1,7,2023
298.6,Outside Central Region,1,6,2023
299.9,Outside Central Region,1,5,2023
297.8,Outside Central Region,1,4,2023
294.8,Outside Central Region,1,3,2023
290.2,Outside Central Region,1,2,2023
290.9,Outside Central Region,1,1,2023
286.9,Outside Central Region,1,12,2022
290.5,Outside Central Region,1,11,2022
289.2,Outside Central Region,1,10,2022
291.1,Outside Central Region,1,9,2022
286.2,Outside Central Region,1,8,2022
282,Outside Central Region,1,7,2022
273.2,Outside Central Region,1,6,2022
267.8,Outside Central Region,1,5,2022
268.4,Outside Central Region,1,4,2022
265.3,Outside Central Region,1,3,2022
263.8,Outside Central Region,1,2,2022
259.8,Outside Central Region,1,1,2022
258.2,Outside Central Region,1,12,2021
257.3,Outside Central Region,1,11,2021
251.2,Outside Central Region,1,10,2021
249.9,Outside Central Region,1,9,2021
243.2,Outside Central Region,1,8,2021
241.9,Outside Central Region,1,7,2021
238.5,Outside Central Region,1,6,2021
236.2,Outside Central Region,1,5,2021
235.1,Outside Central Region,1,4,2021
231.6,Outside Central Region,1,3,2021
226.4,Outside Central Region,1,2,2021
218.5,Outside Central Region,1,1,2021
217,Outside Central Region,1,12,2020
220,Outside Central Region,1,11,2020
224.4,Outside Central Region,1,10,2020
222.8,Outside Central Region,1,9,2020
222.1,Outside Central Region,1,8,2020
220.2,Outside Central Region,1,7,2020
228.5,Outside Central Region,1,6,2020
230.1,Outside Central Region,1,5,2020
230.6,Outside Central Region,1,4,2020
221.3,Outside Central Region,1,3,2020
216.1,Outside Central Region,1,2,2020
215.6,Outside Central Region,1,1,2020
215.8,Outside Central Region,1,12,2019
223.3,Outside Central Region,1,11,2019
221.3,Outside Central Region,1,10,2019
218.3,Outside Central Region,1,9,2019
211.7,Outside Central Region,1,8,2019
212.6,Outside Central Region,1,7,2019
217.1,Outside Central Region,1,6,2019
215.2,Outside Central Region,1,5,2019
213.7,Outside Central Region,1,4,2019
210.6,Outside Central Region,1,3,2019
211.3,Outside Central Region,1,2,2019
210.3,Outside Central Region,1,1,2019
232.9,Core Central Region,0,2,2024
234.8,Core Central Region,0,1,2024
232.2,Core Central Region,0,12,2023
253.4,Core Central Region,0,11,2023
225.8,Core Central Region,0,10,2023
229.9,Core Central Region,0,9,2023
226.6,Core Central Region,0,8,2023
225.9,Core Central Region,0,7,2023
222.1,Core Central Region,0,6,2023
224.6,Core Central Region,0,5,2023
220.6,Core Central Region,0,4,2023
220.4,Core Central Region,0,3,2023
222.3,Core Central Region,0,2,2023
223.7,Core Central Region,0,1,2023
219.9,Core Central Region,0,12,2022
221.2,Core Central Region,0,11,2022
219.4,Core Central Region,0,10,2022
217.9,Core Central Region,0,9,2022
218.1,Core Central Region,0,8,2022
216.1,Core Central Region,0,7,2022
215.9,Core Central Region,0,6,2022
214.1,Core Central Region,0,5,2022
215.3,Core Central Region,0,4,2022
212.1,Core Central Region,0,3,2022
210.6,Core Central Region,0,2,2022
211.5,Core Central Region,0,1,2022
209.8,Core Central Region,0,12,2021
207.5,Core Central Region,0,11,2021
208.1,Core Central Region,0,10,2021
205.5,Core Central Region,0,9,2021
204.9,Core Central Region,0,8,2021
203.4,Core Central Region,0,7,2021
196.7,Core Central Region,0,6,2021
206.2,Core Central Region,0,5,2021
211.9,Core Central Region,0,4,2021
206.7,Core Central Region,0,3,2021
195.8,Core Central Region,0,2,2021
194,Core Central Region,0,1,2021
193.4,Core Central Region,0,12,2020
195.3,Core Central Region,0,11,2020
190.4,Core Central Region,0,10,2020
191.9,Core Central Region,0,9,2020
192.4,Core Central Region,0,8,2020
192,Core Central Region,0,7,2020
193,Core Central Region,0,6,2020
194.6,Core Central Region,0,5,2020
195.1,Core Central Region,0,4,2020
190.8,Core Central Region,0,3,2020
206.4,Core Central Region,0,2,2020
198.1,Core Central Region,0,1,2020
201.2,Core Central Region,0,12,2019
204.2,Core Central Region,0,11,2019
207.1,Core Central Region,0,10,2019
204.7,Core Central Region,0,9,2019
199.3,Core Central Region,0,8,2019
201.6,Core Central Region,0,7,2019
201.6,Core Central Region,0,6,2019
199.3,Core Central Region,0,5,2019
201.8,Core Central Region,0,4,2019
198.8,Core Central Region,0,3,2019
194.6,Core Central Region,0,2,2019
197.5,Core Central Region,0,1,2019
280.2,Rest of Central Region,0,2,2024
280.7,Rest of Central Region,0,1,2024
276.6,Rest of Central Region,0,12,2023
276.4,Rest of Central Region,0,11,2023
279.4,Rest of Central Region,0,10,2023
278.8,Rest of Central Region,0,9,2023
274.7,Rest of Central Region,0,8,2023
277.4,Rest of Central Region,0,7,2023
274.2,Rest of Central Region,0,6,2023
279.1,Rest of Central Region,0,5,2023
269.1,Rest of Central Region,0,4,2023
268.7,Rest of Central Region,0,3,2023
278.2,Rest of Central Region,0,2,2023
263.4,Rest of Central Region,0,1,2023
262.7,Rest of Central Region,0,12,2022
266.4,Rest of Central Region,0,11,2022
265.2,Rest of Central Region,0,10,2022
260,Rest of Central Region,0,9,2022
260.5,Rest of Central Region,0,8,2022
258.4,Rest of Central Region,0,7,2022
257.1,Rest of Central Region,0,6,2022
256.6,Rest of Central Region,0,5,2022
251.7,Rest of Central Region,0,4,2022
245.8,Rest of Central Region,0,3,2022
244.7,Rest of Central Region,0,2,2022
243.8,Rest of Central Region,0,1,2022
241.5,Rest of Central Region,0,12,2021
240.4,Rest of Central Region,0,11,2021
239.9,Rest of Central Region,0,10,2021
236.3,Rest of Central Region,0,9,2021
233.2,Rest of Central Region,0,8,2021
234.8,Rest of Central Region,0,7,2021
233.9,Rest of Central Region,0,6,2021
230.8,Rest of Central Region,0,5,2021
232.9,Rest of Central Region,0,4,2021
225.6,Rest of Central Region,0,3,2021
222.6,Rest of Central Region,0,2,2021
218.9,Rest of Central Region,0,1,2021
221.1,Rest of Central Region,0,12,2020
222.6,Rest of Central Region,0,11,2020
222.4,Rest of Central Region,0,10,2020
224.9,Rest of Central Region,0,9,2020
220,Rest of Central Region,0,8,2020
218.8,Rest of Central Region,0,7,2020
222.2,Rest of Central Region,0,6,2020
222.7,Rest of Central Region,0,5,2020
212.9,Rest of Central Region,0,4,2020
218,Rest of Central Region,0,3,2020
220.6,Rest of Central Region,0,2,2020
220.2,Rest of Central Region,0,1,2020
217.4,Rest of Central Region,0,12,2019
221.4,Rest of Central Region,0,11,2019
221.4,Rest of Central Region,0,10,2019
223.6,Rest of Central Region,0,9,2019
220.3,Rest of Central Region,0,8,2019
228.8,Rest of Central Region,0,7,2019
221.3,Rest of Central Region,0,6,2019
223.1,Rest of Central Region,0,5,2019
214,Rest of Central Region,0,4,2019
210.4,Rest of Central Region,0,3,2019
210.6,Rest of Central Region,0,2,2019
213.3,Rest of Central Region,0,1,2019
270.3,Outside Central Region,0,2,2024
272.5,Outside Central Region,0,1,2024
267.4,Outside Central Region,0,12,2023
291.6,Outside Central Region,0,11,2023
266.6,Outside Central Region,0,10,2023
261.6,Outside Central Region,0,9,2023
265.3,Outside Central Region,0,8,2023
268.2,Outside Central Region,0,7,2023
253.2,Outside Central Region,0,6,2023
254.5,Outside Central Region,0,5,2023
251.5,Outside Central Region,0,4,2023
260.2,Outside Central Region,0,3,2023
247.7,Outside Central Region,0,2,2023
246.9,Outside Central Region,0,1,2023
243.5,Outside Central Region,0,12,2022
242.5,Outside Central Region,0,11,2022
242,Outside Central Region,0,10,2022
256.3,Outside Central Region,0,9,2022
237.5,Outside Central Region,0,8,2022
248.6,Outside Central Region,0,7,2022
233.9,Outside Central Region,0,6,2022
236.9,Outside Central Region,0,5,2022
230.2,Outside Central Region,0,4,2022
230.3,Outside Central Region,0,3,2022
228.1,Outside Central Region,0,2,2022
227,Outside Central Region,0,1,2022
225.5,Outside Central Region,0,12,2021
226.4,Outside Central Region,0,11,2021
222.5,Outside Central Region,0,10,2021
220.6,Outside Central Region,0,9,2021
223,Outside Central Region,0,8,2021
223.4,Outside Central Region,0,7,2021
213.5,Outside Central Region,0,6,2021
212.7,Outside Central Region,0,5,2021
208.8,Outside Central Region,0,4,2021
208.8,Outside Central Region,0,3,2021
208.1,Outside Central Region,0,2,2021
206.3,Outside Central Region,0,1,2021
207.3,Outside Central Region,0,12,2020
204.7,Outside Central Region,0,11,2020
203.9,Outside Central Region,0,10,2020
205.3,Outside Central Region,0,9,2020
206.1,Outside Central Region,0,8,2020
204.3,Outside Central Region,0,7,2020
209.6,Outside Central Region,0,6,2020
206.7,Outside Central Region,0,5,2020
194.7,Outside Central Region,0,4,2020
200.3,Outside Central Region,0,3,2020
200.8,Outside Central Region,0,2,2020
198.6,Outside Central Region,0,1,2020
200,Outside Central Region,0,12,2019
210.5,Outside Central Region,0,11,2019
199.1,Outside Central Region,0,10,2019
199.4,Outside Central Region,0,9,2019
199.9,Outside Central Region,0,8,2019
198.9,Outside Central Region,0,7,2019
199.3,Outside Central Region,0,6,2019
201.9,Outside Central Region,0,5,2019
198.1,Outside Central Region,0,4,2019
198.6,Outside Central Region,0,3,2019
195.5,Outside Central Region,0,2,2019
195,Outside Central Region,0,1,2019
266.23332,CCR,1,2,2024
266.3311755,CCR,1,3,2024
266.8254403,CCR,1,4,2024
267.3640605,CCR,1,5,2024
267.8301963,CCR,1,6,2024
268.3233548,CCR,1,7,2024
268.8180911,CCR,1,8,2024
269.2725872,CCR,1,9,2024
269.6955154,CCR,1,10,2024
270.200877,CCR,1,11,2024
270.9032869,CCR,1,12,2024
271.5392549,CCR,1,1,2025
272.1727491,CCR,1,2,2025
272.87695,CCR,1,3,2025
273.275282,CCR,1,4,2025
273.6722264,CCR,1,5,2025
273.9936203,CCR,1,6,2025
274.5001355,CCR,1,7,2025
275.0176197,CCR,1,8,2025
275.5783015,CCR,1,9,2025
276.1065164,CCR,1,10,2025
276.4130202,CCR,1,11,2025
276.9783589,CCR,1,12,2025
277.2648154,CCR,1,1,2026
277.6995683,CCR,1,2,2026
278.352515,CCR,1,3,2026
278.5167782,CCR,1,4,2026
279.1205231,CCR,1,5,2026
279.7570467,CCR,1,6,2026
280.2326219,CCR,1,7,2026
280.6822098,CCR,1,8,2026
281.1916643,CCR,1,9,2026
281.9178061,CCR,1,10,2026
282.1902296,CCR,1,11,2026
282.6760208,CCR,1,12,2026
283.2339512,CCR,1,1,2027
283.7884402,CCR,1,2,2027
284.5543273,CCR,1,3,2027
285.1398392,CCR,1,4,2027
285.6475546,CCR,1,5,2027
286.1022865,CCR,1,6,2027
286.7319726,CCR,1,7,2027
287.3392834,CCR,1,8,2027
287.8609214,CCR,1,9,2027
288.3963893,CCR,1,10,2027
289.023613,CCR,1,11,2027
289.484405,CCR,1,12,2027
289.9439889,CCR,1,1,2028
290.6094371,CCR,1,2,2028
290.7961044,CCR,1,3,2028
291.3281682,CCR,1,4,2028
291.705249,CCR,1,5,2028
292.1482245,CCR,1,6,2028
292.759997,CCR,1,7,2028
293.2721444,CCR,1,8,2028
293.8503279,CCR,1,9,2028
294.3672208,CCR,1,10,2028
295.0447247,CCR,1,11,2028
295.5584359,CCR,1,12,2028
296.0705123,CCR,1,1,2029
296.5025763,CCR,1,2,2029
297.0153226,CCR,1,3,2029
297.1492826,CCR,1,4,2029
297.5682308,CCR,1,5,2029
297.8592969,CCR,1,6,2029
298.4351963,CCR,1,7,2029
298.6146541,CCR,1,8,2029
299.2185791,CCR,1,9,2029
299.9481692,CCR,1,10,2029
300.3840055,CCR,1,11,2029
300.9914291,CCR,1,12,2029
301.5947837,CCR,1,1,2030
302.1477735,CCR,1,2,2030
302.8585406,CCR,1,3,2030
303.5156202,CCR,1,4,2030
303.9527751,CCR,1,5,2030
304.6794087,CCR,1,6,2030
305.3282997,CCR,1,7,2030
305.9585478,CCR,1,8,2030
306.5880885,CCR,1,9,2030
307.176713,CCR,1,10,2030
307.5805089,CCR,1,11,2030
308.1007099,CCR,1,12,2030
308.7003476,CCR,1,1,2031
309.3996638,CCR,1,2,2031
309.8038024,CCR,1,3,2031
310.3209696,CCR,1,4,2031
310.8155302,CCR,1,5,2031
311.3009291,CCR,1,6,2031
311.7514927,CCR,1,7,2031
312.208841,CCR,1,8,2031
312.8267923,CCR,1,9,2031
313.2672777,CCR,1,10,2031
313.7625291,CCR,1,11,2031
314.1748816,CCR,1,12,2031
314.6002886,CCR,1,1,2032
315.1815443,CCR,1,2,2032
315.7878772,CCR,1,3,2032
316.2834241,CCR,1,4,2032
316.9573125,CCR,1,5,2032
317.6636966,CCR,1,6,2032
318.185597,CCR,1,7,2032
318.7090409,CCR,1,8,2032
319.1747519,CCR,1,9,2032
319.5865129,CCR,1,10,2032
319.8782432,CCR,1,11,2032
320.1683049,CCR,1,12,2032
320.6721062,CCR,1,1,2033
321.3831811,CCR,1,2,2033
321.7913422,CCR,1,3,2033
322.2309566,CCR,1,4,2033
322.839498,CCR,1,5,2033
323.4188946,CCR,1,6,2033
324.1606166,CCR,1,7,2033
324.4574477,CCR,1,8,2033
325.0258022,CCR,1,9,2033
325.3988259,CCR,1,10,2033
325.9290348,CCR,1,11,2033
